arabizi,arabic_harakat,arabic_stripped
zeet baladi,زيت بلدي,زيت بلدي
mfatti7 biblaad 3imyaan,مفتح ببْلَاَد عميَان,مفتح ببلاد عميان
min tiin blaadak lutt 3akhdaadak,مِن طِين بْلَاَدَك لُطّ عَخْدَادَك,من طين بلادك لط عخدادك
3aqlo byuuzin balad,عقله بْيُوزِن بَلَد,عقله بيوزن بلد
bi7ki labalad,بيِحْكِي لَبَلَد,بيحكي لبلد
baladiyyaat,بَلَدِيَّات,بلديات
ballid,بَلِّد,بلد
2itbaalad,اِتْبَالَد,اتبالد
yballid,يْبَلِّد,يبلد
yitbaalad,يِتْبَالَد,يتبالد
ballad,بَلَّد,بلد
tbaalad,تْبَالَد,تبالد
2ibliis,اِبْلِيس,ابليس
2abaalse,أَبَالْسِة,أبالسة
2ibliis bit3allam minno,اِبْلِيس بيِتْعلَّم مِنُّه,ابليس بيتعلم منه
bi3iddi bghanamaat 2ibliis,بِيعِدّ بِغَنَمَات اِبْلِيس,بيعد بغنمات ابليس
2it2ablas,اِتْأَبْلَس,اتأبلس
yit2ablas,يِتْأَبْلَس,يتأبلس
t2ablas,تْأَبْلَس,تأبلس
blaastik,بْلَاسْتِيك,بلاستيك
balaash,بَلَاش,بلاش
balaash,بَلَاش,بلاش
2iblash,اِبْلَش,ابلش
ballish,بَلِّش,بلش
yiblash,يِبْلَش,يبلش
yballish,يبَلِّش,يبلش
balash,بَلَش,بلش
ballash,بَلَّش,بلش
mabluush,مَبْلُوش,مبلوش
2inbilish,اِنْبِلِش,انبلش
yinbilish,يِنْبِلِش,ينبلش
2inbalash,اِنْبَلَش,انبلش
balsa,بَلْصَة,بلصة
ballaas,بَلَّاص,بلاص
ballaas,بَلَّاص,بلاص
ballis,بَلِّص,بلص
yballis,يبَلِّص,يبلص
ballas,بَلَّص,بلص
balta,بَلْطَة,بلطة
balaata,بَلَاطَة,بلاطة
balaata,بَلَاطَة,بلاطة
tabliit,تَبْلِيط,تبليط
baalto,بَالْطو,بالطو
balaat,بَلَاط,بلاط
balliit,بَلِّيط,بليط
balliite,بَلِّيطِة,بليطة
libis 2ilbalaata,لِبِس البَلَاطَة,لبس البلاطة
za3tar balaat,زَعْتَر بَلَاط,زعتر بلاط
7attu 3asidro balaata,حَطُّوَا عَصِدْرُه بَلَاطَة,حطوا عصدره بلاطة
libisil balaata,لِبِس البَلَاطَة,لبس البلاطة
3a blata,عَبَلَاطَة,عبلاطة
ruu7 ballit 2ilba7ar,رَوح بَلِّط البَحَر,روح بلط البحر
2ijaak miin yi3rifak yaa balluut,إِجَاك مِين يِعْرَفَك يَا بَلُّوط,إجاك مين يعرفك يا بلوط
2itballat,اِتْبَلَّط,اتبلط
yitballat,يِتْبَلَّط,يتبلط
tballat,تْبَلَّط,تبلط
ballit,بَلِّط,بلط
yballit,يبَلِّط,يبلط
ballat,بَلَّط,بلط
balluut,بَلُّوط,بلوط
mbaltik,مْبَلْطِق,مبلطق
baltaka,بَلْطَقَة,بلطقة
baltik,بَلْطِق,بلطق
ybaltik,يبَلْطِق,يبلطق
baltak,بَلْطَق,بلطق
2itbaltan,اِتْبَلْطَن,اتبلطن
yitbaltan,يِتْبَلْطَن,يتبلطن
tbaltan,تْبَلْطَن,تبلطن
baltin,بَلْطِن,بلطن
ybaltin,يبَلْطِن,يبلطن
baltan,بَلْطَن,بلطن
baltaloon,بَلْطَلَون,بلطلون
balaatiin,بَلَاطِين,بلاطين
mbooli3,مْبَولِع,مبولع
baali3,بَالِع,بالع
balluu3a,بَلُّوعَة,بلوعة
bali3,بَلِع,بلع
bala3oon,بَلْعَون,بلعون
balaalii3,بَلَالِيع,بلاليع
bala3iin,بَلَاعِين,بلاعين
bili3,بِلِع,بلع
yitla3 bil3ak,يِطْلَع بِلْعَك,يطلع بلعك
baali3 qkundara,بَالِع قُنْدَرَة,بالع قندرة
2ibla3,اِبْلَع,ابلع
yibla3,يِبْلَع,يبلع
bala3,بَلَع,بلع
tbil3it,تْبِلْعِط,تبلعط
bal3it,بَلْعِط,بلعط
2itbal3at,اِتْبَلْعَط,اتبلعط
ybal3it,يبَلْعِط,يبلعط
yitbal3at,يِتْبَلْعَط,يتبلعط
bal3at,بَلْعَط,بلعط
tbal3at,تْبَلْعَط,تبلعط
baaligh,بَالِغ,بالغ
baliigh,بَلِيغ,بليغ
mballigh,مْبَلِّغ,مبلغ
balaagha,بَلَاغَة,بلاغة
balgha,بَلْغَة,بلغة
buluugh,بُلُوغ,بلوغ
baaligh,بَالِغ,بالغ
ybaaligh,يبَالِغ,يبالغ
baalagh,بَالَغ,بالغ
balaagh,بَلَاغ,بلاغ
tabliigh,تَبْلِيغ,تبليغ
mablagh,مَبْلَغ,مبلغ
mabaaligh,مَبَالِغ,مبالغ
2itballagh,اِتْبَلَّغ,اتبلغ
yitballagh,يِتْبَلَّغ,يتبلغ
tballagh,تْبَلَّغ,تبلغ
2ublugh,اِبْلُغ,ابلغ
balligh,بَلِّغ,بلغ
yublugh,يُبْلُغ,يبلغ
yballigh,يْبَلِّغ,يبلغ
balagh,بَلَغ,بلغ
ballagh,بَلَّغ,بلغ
balgham,بَلْغَم,بلغم
balfe,بَلْفِة,بلفة
2inbilif,اِنْبِلِف,انبلف
yinbilif,يِنْبِلِف,ينبلف
2inbalaf,اِنْبَلَف,انبلف
2iblif,اِبْلِف,ابلف
yiblif,يِبْلِف,يبلف
balaf,بَلَف,بلف
balafoon,بَلَفَون,بلفون
baaliq,بَالِق,بالق
2ibluq,اِبْلُق,ابلق
yibluq,يِبْلُق,يبلق
balaq,بَلَق,بلق
balqish,بَلْقِش,بلقش
ybalqish,يبَلْقِش,يبلقش
balqash,بَلْقَش,بلقش
balqi3,بَلْقِع,بلقع
ybalqi3,يبَلْقِع,يبلقع
balqa3,بَلْقَع,بلقع
blukke,بْلُكِّة,بلكة
blukk,بْلُكّ,بلك
2itballak,اِتْبَلَّك,اتبلك
yitballak,يِتْبَلَّك,يتبلك
tballak,تْبَلَّك,تبلك
ballik,بَلِّك,بلك
yballik,يبَلِّك,يبلك
ballak,بَلَّك,بلك
balkame,بَلْكَمِة,بلكمة
2itbalkam,اِتْبَلْكَم,اتبلكم
yitbalkam,يِتْبَلْكَم,يتبلكم
tbalkam,تْبَلْكَم,تبلكم
balkim,بَلْكِم,بلكم
ybalkim,يبَلْكِم,يبلكم
balkam,بَلْكَم,بلكم
balkoone,بَلْكَونِة,بلكونة
balakoone,بَلَكَونِة,بلكونة
balakiin,بَلَاكِين,بلاكين
balkin,بَلْكِن,بلكن
balki,بَلْكِي,بلكي
balle,بَلِّة,بلة
balle,بَلِّة,بلة
mballal,مْبَلَّل,مبلل
mabluul,مَبْلُول,مبلول
ballo qatle,بَلُّه قتْلِة,بله قتلة
billha wu2ishrab mayyitha,بِلْهَا وَاِشْرَب مَيِّتْهَا,بلها واشرب ميتها
2ayluul deelo mabluul,أَيْلُول ذَيلُه مَبْلُول,أيلول ذيله مبلول
balal,بَلَل,بلل
2itballal,اِتْبَلَّل,اتبلل
yitballal,يِتْبَلَّل,يتبلل
tballal,تْبَلَّل,تبلل
bill,بِلّ,بل
ballil,بَلِّل,بلل
ybill,يبِلّ,يبل
yballil,يبَلِّل,يبلل
ball,بَلّ,بل
ballal,بَلَّل,بلل
baliila,بَلِيلَة,بليلة
mballim,مْبَلِّم,مبلم
ballim,بَلِّم,بلم
yballim,يْبَلِّم,يبلم
ballam,بَلَّم,بلم
ballane,بَلَّانِة,بلانة
balaaliin,بَلَالِين,بلالين
baaloon,بَالَون,بالون
balloone,بَلَّونِة,بلونة
ballane,بَلَّانِة,بلانة
balaaliin,بَلَالِين,بلالين
saayir mitil 2ilballoone,صَايِر مثل البَلَّونِة,صاير مثل البلونة
mbalhid,مْبَلْهِد,مبلهد
balhid,بَلْهِد,بلهد
ybalhid,يبَلْهِد,يبلهد
balhad,بَلْهَد,بلهد
balhamuuti,بَلْهَمُوطِي,بلهموطي
balhamuutiyye,بَلْهَمُوطِيِّة,بلهموطية
bluuze,بْلُوزِة,بلوزة
balaayiz,بَلَايِز,بلايز
baaluuza,بَالُوظَة,بالوظة
balaawi,بَلَاوِي,بلاوي
baali,بَالِي,بالي
balwe,بَلْوِة,بلوة
bala,بَلَا,بلا
2ibtilaa2,اِبْتِلَاء,ابتلاء
balaawi,بَلَاوِي,بلاوي
balaawi msabbara,بَلَاوِي مْصَبَّرة,بلاوي مصبرة
kiid wubala,كيد وبلَا,كيد وبلا
shala bala,شلَا بلَا,شلا بلا
suusitil bala,سوسة البلَا,سوسة البلا
reeto maa yibla,ريته مَا يِبْلَى,ريته ما يبلى
2inbili,اِنْبِلِي,انبلي
yinbili,يِنْبِلِي,ينبلي
2inbala,اِنْبَلَى,انبلى
2ibli,اِبْلِي,ابلي
2ibtali,اِبْتَلِي,ابتلي
2ibli,اِبْلِي,ابلي
yibli,يِبْلِي,يبلي
yibtali,يِبْتَلِي,يبتلي
yibla,يِبْلَى,يبلى
bala,بَلَى,بلى
2ibtala,اِبْتَلَى,ابتلى
bili,بِلِي,بلي
bumba,بُومْبَا,بومبا
bannaati,بَنَّاتِي,بناتي
banaat,بَنَات,بنات
banuute,بَنُّوتِة,بنوتة
binit,بِنِت,بنت
banaat dineen,بَنَات ذِنين,بنات ذنين
banaat na3ish,بَنَات نَعِش,بنات نعش
bint bnuut,بِنْت بْنُوت,بنت بنوت
bint 2imbaari7,بِنْت إِمْبَارِح,بنت إمبارح
sha3ar 2ilbanaat,شَعَر البَنَات,شعر البنات
2itbannat,اِتْبَنَّت,اتبنت
yitbannat,يِتْبَنَّت,يتبنت
tbannat,تْبَنَّت,تبنت
bannit,بَنِّت,بنت
ybannit,يبَنِّت,يبنت
bannat,بَنَّت,بنت
mbannaj,مْبَنَّج,مبنج
banj,بَنْج,بنج
bannij,بَنِّج,بنج
2itbannaj,اِتْبَنَّج,اتبنج
ybannij,يبَنِّج,يبنج
yibannaj,يِتْبَنَّج,يتبنج
bannaj,بَنَّج,بنج
tbannaj,تْبَنَّج,تبنج
banjar,بَنْجَر,بنجر
bunuud,بُنُود,بنود
band,بَنْد,بند
banaduura,بَنَدُورَة,بندورة
banadoora,بَنَدَورَة,بندورة
banduura,بَنْدُورَة,بندورة
bandoora,بَنْدَورَة,بندورة
banduuqk,بَنْدُوق,بندوق
banaadiiqk,بَنَادِيق,بناديق
bunduqaaye,بُنْدُقَايِة,بندقاية
bunduqiyye,بُنْدُقِيِّة,بندقية
bunduq,بُنْدُق,بندق
bundu2aaye,بُنْدُقَايِة,بندقاية
banaadiq,بَنَادِق,بنادق
bandiq,بَنْدِق,بندق
ybandiq,يبَنْدِق,يبندق
bandaq,بَنْدَق,بندق
bnaadool,بَنَادَول,بنادول
bundiyye,بُنْدِيِّة,بندية
banaadi,بَنَادِي,بنادي
banziin,بَنْزِين,بنزين
baanse,بَانْسِة,بانسة
mbannas,مْبَنَّس,مبنس
2itbannas,اِتْبَنَّس,اتبنس
yitbannas,يِتْبَنَّس,يتبنس
tbannas,تْبَنَّس,تبنس
bannis,بَنِّس,بنس
ybannis,يبَنِّس,يبنس
bannas,بَنَّس,بنس
banshir,بَنْشِر,بنشر
ybanshir,يبَنْشِر,يبنشر
banshar,بَنْشَر,بنشر
banshar,بَنْشَر,بنشر
mbanshir,مْبَنْشِر,مبنشر
mbannis,مْبَنِّص,مبنص
bans,بَنْص,بنص
bansa,بَنْصَا,بنصا
bunus,بُنُص,بنص
bans,بَنْص,بنص
bnuus,بْنُوص,بنوص
bannis,بَنِّص,بنص
ybannis,يبَنِّص,يبنص
bannas,بَنَّص,بنص
mbannit,مْبَنِّط,مبنط
bunt,بُنْط,بنط
bnuut,بْنُوط,بنوط
bannit,بَنِّط,بنط
ybannit,يبَنِّط,يبنط
bannat,بَنَّط,بنط
bantaloon,بَنْطَلَون,بنطلون
banaatiil,بَنَاطِيل,بناطيل
binneeqa,بِنَّيقَة,بنيقة
banaaniiq,بَنَانِيق,بنانيق
banniq,بَنِّق,بنق
ybanniq,يبَنِّق,يبنق
bannaq,بَنَّق,بنق
bank,بَنْك,بنك
qaa3id 3abank,قَاعِد عبَنْك,قاعد عبنك
bank,بَنْك,بنك
bank 2iddiraase,بَنْك الدِّرَاسِة,بنك الدراسة
bankeet,بَنْكَيت,بنكيت
bunni,بُنِّي,بني
binni,بِنِّي,بني
bunn,بُنّ,بن
2ibin,اِبِن,ابن
2abnaa2,أَبْنَاء,أبناء
2ibin 3izz,اِبِن عِز,ابن عز
2ibin 2imbaari7,اِبِن إِمبَارح,ابن إمبارح
2ibin biiro,اِبِن بيرو,ابن بيرو
2ibin 7alaal,اِبِن حَلَال,ابن حلال
2ibin 7alaal msaffa,اِبِن حَلَال مصفَّى,ابن حلال مصفى
2ibin 7araam,اِبِن حَرَام,ابن حرام
2ibin 2immo,اِبِن إِمُّه,ابن إمه
maa 2adrat minil khaal 2illa 2ibin 2ukhto,مَا أظرط من الخَال الَا اِبِن أخته,ما أظرط من الخال الا ابن أخته
bannuura,بَنُّورَة,بنورة
banaaniir,بَنَانِير,بنانير
binaa2an 3ala,بِنَاء على,بناء على
binaa2,بِنَاء,بناء
binaaye,بِنَايِة,بناية
baanyo,بَانْيو,بانيو
banna,بَنَّا,بنا
banaani,بَنَانِي,بناني
bannaaye,بَنَّايِة,بناية
mabna,مَبْنَى,مبنى
mabaani,مَبَانِي,مباني
tabanni,تَبَنِّي,تبني
2itbanna,اِتْبَنَّى,اتبنى
yitbanna,يِتْبَنَّى,يتبنى
tbanna,تْبَنَّى,تبنى
2inbini,اِنْبِنِي,انبني
yinbini,يِنْبِنِي,ينبني
2inbana,اِنْبَنَى,انبنى
2ibni,اِبْنِي,ابني
banni,بَنِّي,بني
yibni,يِبْنِي,يبني
ybanni,يبَنِّي,يبني
bana,بَنَى,بنى
banna,بَنَّى,بنى
mbahbat,مْبَهْبَط,مبهبط
bahbata,بَهْبَطَة,بهبطة
bahbit,بَهْبِط,بهبط
ybahbit,يبَهْبِط,يبهبط
bahbat,بَهْبَط,بهبط
2itbahbat,اِتْبَهْبَط,اتبهبط
yitbahbat,يِتْبَهْبَط,يتبهبط
tbahbat,تْبَهْبَط,تبهبط
baahit,بَاهِت,باهت
buhtaan,بُهْتَان,بهتان
2ibhat,إِبْهَت,إبهت
yibhat,يِبْهَت,يبهت
bahat,بَهَت,بهت
2abhaj,أَبْهَج,أبهج
mubtahij,مُبْتَهِج,مبتهج
mibhij,مِبْهِج,مبهج
bahje,بَهْجِة,بهجة
2ibhij,اِبْهِج,ابهج
2ibtahij,اِبْتَهِج,ابتهج
2istabhij,اِسْتَبْهِج,استبهج
yibhij,يِبْهِج,يبهج
yibtihij,يِبْتِهِج,يبتهج
yistabhij,يِسْتَبْهِج,يستبهج
2abhaj,أَبْهَج,أبهج
2ibtahaj,اِبْتَهَج,ابتهج
2istabhaj,اِسْتَبْهَج,استبهج
bahdale,بَهْدَلِة,بهدلة
bahaadil,بَهَادِل,بهادل
2itbahdal,اِتْبَهْدَل,اتبهدل
yitbahdal,يِتْبَهْدَل,يتبهدل
tbahdal,تْبَهْدَل,تبهدل
bahdil,بَهْدِل,بهدل
ybahdil,يبَهْدِل,يبهدل
bahdal,بَهْدَل,بهدل
baahir,بَاهِر,باهر
munbahir,مُنْبَهِر,منبهر
mabhuur,مَبْهُور,مبهور
mbahhar,مْبَهَّر,مبهر
mubhir,مُبْهِر,مبهر
mbahhar,مْبَهَّر,مبهر
bhaar,بْهَار,بهار
bhaaraat,بْهَارَات,بهارات
2inbihaar,اِنْبِهَار,انبهار
2inbihir,اِنْبِهِر,انبهر
yinbihir,يِنْبِهِر,ينبهر
2inbahar,اِنْبَهَر,انبهر
bahhir,بَهِّر,بهر
2ibhir,إِبْهِر,إبهر
yibhir,يِبْهِر,يبهر
ybahhir,يْبَهِّر,يبهر
bahhar,بَهَّر,بهر
2abhar,أَبْهَر,أبهر
mbahraj,مْبَهْرَج,مبهرج
bahraje,بَهْرَجِة,بهرجة
bahaariij,بَهَارِيج,بهاريج
bahrij,بَهْرِج,بهرج
ybahrij,يبَهْرِج,يبهرج
bahraj,بَهْرَج,بهرج
baahish,بَاهِش,باهش
baahshe,بَاهْشِة,باهشة
buhaaq,بُهَاق,بهاق
2ibtihaal,اِبْتِهَال,ابتهال
2ibtahil,اِبْتَهِل,ابتهل
yibtahil,يِبْتَهِل,يبتهل
2ibtahal,اِبْتَهَل,ابتهل
bahluul,بَهْلُول,بهلول
bahaaliil,بَهَالِيل,بهاليل
bahiim,بَهِيم,بهيم
bhiim,بْهِيم,بهيم
bayaayim,بَهَايِم,بهايم
2itbahman,اِتْبَهْمَن,اتبهمن
yitbahman,يِتْبَهْمَن,يتبهمن
tbahman,تْبَهْمَن,تبهمن
mbahwar,مْبَهْوَر,مبهور
bahwir,بَهْوِر,بهور
ybahwir,يبَهْوِر,يبهور
bahwar,بَهْوَر,بهور
mbahwagkq,مْبَهْوَق,مبهوق
bahwagkqa,بَهْوَقَة,بهوقة
tbahwagkq,تْبَهْوَق,تبهوق
yitbahwagkq,يِتْبَهْوَق,يتبهوق
2itbahwagkq,اِتْبَهْوَق,اتبهوق
mbahwik,مْبَهْوِك,مبهوك
bahwik,بَهْوِك,بهوك
ybahwik,يبَهْوِك,يبهوك
bahwak,بَهْوَك,بهوك
2itbaaha,اِتْبَاهَى,اتباهى
yitbaaha,يِتْبَاهَى,يتباهى
tbaaha,تْبَاهَى,تباهى
tabaahi,تَبَاهِي,تباهي
mutabaahi,مُتَبَاهِي,متباهي
mbawwab,مْبَوَِّب,مبوب
bawwaabe,بَوَّابِة,بوابة
tabwiib,تَبْوِيب,تبويب
baab,بَاب,باب
biibaan,بِيبَان,بيبان
2abwaab,أَبْوَاب,أبواب
bwaab,بْوَاب,بواب
baab riziq,بَاب رِزِق,باب رزق
baab 2issa3id,بَاب السَّعِد,باب السعد
baab 2ilmashaakil,بَاب المَشَاكِل,باب المشاكل
baab jhannam,بَاب جهنم,باب جهنم
baab wifiq,بَاب الوِفِق,باب الوفق
fata7 3alay baab,فَتَح عَلَي بَاب,فتح علي باب
3alibwaab,عَالبَوَاب,عالبواب
tifta7ish 3alay baab,تِفْتَحِش عَلَي بَاب,تفتحش علي باب
3abaab 2alla,عبَاب الله,عباب الله
3albaab,عَالبَاب,عالباب
2issane wara 2ilbaab,السَّنة ورَا البَاب,السنة ورا الباب
min baabha lami7raabha,مِن بَابْها لَمِحْرَابْهَا,من بابها لمحرابها
bawwib,بَوَِّّب,بوب
ybawwib,يبَوِّب,يبوب
bawwab,بَوَّب,بوب
mboobir,مْبَوبِر,مبوبر
boobir,بَوبِر,بوبر
yboobir,يْبَوبِر,يبوبر
boobar,بَوبَر,بوبر
mboobiz,مْبَوبِز,مبوبز
mboobiz,مْبَوبِز,مبوبز
boobiz,بَوبِز,بوبز
yboobiz,يبَوبِز,يبوبز
boobaz,بَوبَز,بوبز
mboobi3,مْبَوبِع,مبوبع
boobi3,بَوبِع,بوبع
yboobi3,يبَوبِع,يبوبع
booba3,بَوبَع,بوبع
bubbiyye,بُوبِّيِّة,بوبية
bubbu,بُوبُّو,بوبو
bubbiyyaat,بُوبِّيَات,بوبيات
2asaabii3 2ilbubbu,أَصَابِيع البُوبُّو,أصابيع البوبو
boot,بَوت,بوت
bwaat,بْوَات,بوات
booja,بَوجَا,بوجا
2abwaj,أَبْوَج,أبوج
buwaj,بُوَج,بوج
mubaa7,مُبَاح,مباح
baa7a,بَاحَة,باحة
2istibaa7a,اِسْتِبَاحَة,استباحة
boo7,بَوح,بوح
buu7,بُوح,بوح
2istabii7,اِسْتَبِيح,استبيح
ybuu7,يبُوح,يبوح
yistabii7,يِسْتَبِيح,يستبيح
baa7,بَاح,باح
2istabaa7,اِسْتَبَاح,استباح
mitboodar,مِتْبَودِر,متبودر
boodra,بَودْرَة,بودرة
2itboodar,اِتْبَودَر,اتبودر
yitboodar,يِتْبَودَر,يتبودر
tboodar,تْبَودَر,تبودر
baayr,بَايِر,باير
baayre,بَايْرِة,بايرة
buuri,بُورِي,بوري
bawaari,بَوَارِي,بواري
buur,بُور,بور
ybuur,يبُور,يبور
baar,بَار,بار
mbawwiz,مْبَوِّز,مبوز
buuz,بُوز,بوز
bwaaz,بْوَاز,بواز
sidd buuzak,سد بُوزَك,سد بوزك
buuzo shibreen,بُوزه شِبررِين,بوزه شبررين
qaalib buuzo,قَالب بوزه,قالب بوزه
buuz 2il2ikhs,بوز الَاخص,بوز الاخص
laawi buuzo,لَاوي بوزه,لاوي بوزه
7atni bibuuz 2ilmidfa3,حطني ببوز المدفع,حطني ببوز المدفع
bawwiz,بَوِّز,بوز
ybawwiz,يبَوِّز,يبوز
bawwaz,بَوَّز,بوز
buuse,بُوسِة,بوسة
tabwiis,تَبْوِيس,تبويس
2il2iid 2illi maa btiqdar 3aleeha buusha wu2id3i 3aleeha bilkasir,الإِيد اللي مَا بتقدر عليهَا بوسهَا وَادعي عليهَا بَالكسر,الإيد اللي ما بتقدر عليها بوسها وادعي عليها بالكسر
maa baas timha gheer 2imha,مَا بَاس ثِمهَا غير إِمهَا,ما باس ثمها غير إمها
